iter	Passed	Remaining
0	168	168335
1	172	85869
2	175	58329
3	178	44540
4	182	36292
5	183	30469
6	185	26288
7	186	23158
8	188	20735
9	189	18766
10	190	17163
11	192	15819
12	193	14685
13	194	13715
14	196	12874
15	197	12136
16	198	11481
17	199	10898
18	201	10381
19	202	9915
20	203	9491
21	204	9110
22	206	8764
23	207	8441
24	208	8143
25	210	7868
26	211	7618
27	212	7381
28	213	7161
29	215	6954
30	216	6766
31	217	6590
32	219	6422
33	220	6262
34	221	6113
35	223	5972
36	224	5839
37	225	5712
38	226	5592
39	228	5477
40	229	5368
41	231	5269
42	232	5176
43	233	5081
44	235	4990
45	236	4905
46	238	4826
47	239	4747
48	240	4670
49	241	4596
50	243	4525
51	244	4458
52	246	4398
53	247	4340
54	249	4278
55	250	4219
56	251	4163
57	253	4109
58	254	4056
59	255	4004
60	256	3954
61	258	3906
62	259	3858
63	261	3817
64	262	3773
65	263	3730
66	264	3687
67	266	3647
68	267	3608
69	268	3569
70	269	3532
71	271	3496
72	272	3460
73	273	3427
74	275	3394
75	276	3363
76	277	3331
77	279	3299
78	280	3269
79	281	3240
80	283	3211
81	284	3183
82	285	3149
83	286	3122
84	287	3096
85	288	3070
86	290	3045
87	291	3022
88	292	2998
89	294	2974
90	295	2952
91	296	2930
92	298	2908
93	299	2885
94	300	2863
95	301	2842
96	303	2821
97	304	2801
98	305	2784
99	307	2765
100	308	2746
101	309	2727
102	311	2709
103	312	2692
104	313	2674
105	315	2656
106	316	2639
107	317	2623
108	319	2607
109	320	2592
110	321	2578
111	323	2562
112	324	2548
113	325	2533
114	327	2518
115	328	2503
116	329	2486
117	330	2472
118	332	2458
119	333	2444
120	334	2430
121	335	2415
122	337	2404
123	338	2394
124	340	2382
125	341	2369
126	342	2354
127	343	2343
128	345	2331
129	346	2319
130	347	2307
131	349	2296
132	350	2284
133	351	2274
134	353	2264
135	354	2254
136	356	2243
137	357	2233
138	358	2223
139	360	2214
140	361	2204
141	362	2191
142	363	2181
143	365	2171
144	366	2162
145	368	2156
146	370	2148
147	371	2141
148	373	2133
149	375	2125
150	376	2116
151	377	2107
152	379	2098
153	380	2089
154	381	2081
155	383	2073
156	384	2064
157	385	2055
158	387	2047
159	388	2038
160	389	2028
161	390	2019
162	391	2011
163	392	2003
164	394	1994
165	395	1986
166	397	1980
167	398	1973
168	399	1965
169	400	1957
170	402	1950
171	403	1942
172	404	1935
173	406	1927
174	407	1920
175	408	1912
176	409	1905
